Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-0022,Sextortion,Brgy. V-B,2025-11-05,2025-11-06,Under Investigation,"(Unknown)","","","Maria Clara","San Pablo City, Laguna","0916XXXXXXX","Threat to post intimate video","Fiscal Ana Lopez","Branch 3","IV-01-INV-25K-0010","RA 9995","2025-11-05 10:00","40000","SPO1 Reyes","2025-11-06 09:15",,,,14.0736,121.3249,
CYBER-2025-0023,Online Libel,Brgy. III-D,2025-11-10,2025-11-10,Open,,,,"Restaurant ABC","San Pablo City, Laguna","admin@resto.ph","Fake negative review with accusations","Atty. Juan Cruz","","IV-01-INV-25K-0011","RA 10175 Sec 4(c)(4)","2025-11-10 11:00","10000","P/Cpl. Gomez","2025-11-10 14:00",,,,14.0702,121.3313,
CYBER-2025-0024,Identity Theft,Brgy. IV-A,2025-11-12,2025-11-13,Open,,,,"Pedro Dela Cruz","San Pablo City, Laguna","pedro.dc@email.com","Fake Facebook profile using his photos","Atty. Maria Reyes","Branch 2","IV-01-INV-25K-0015","RA 10175 Sec 4(b)(3)","2025-11-12 16:30","","P/Cpl. Cruz","2025-11-13 10:00",,,,14.0723,121.3292,
CYBER-2025-0025,Online Fraud,Brgy. II-A,2025-11-15,2025-11-16,Under Investigation,"Carousell Seller (Alias)","","","Ana Santos","San Pablo City, Laguna","0927XXXXXXX","Fake designer bag sale","Fiscal Ana Lopez","Branch 1","IV-01-INV-25K-0020","Estafa (Art. 315 RPC)","2025-11-15 13:00","15000","SPO1 Reyes","2025-11-16 11:00",,,,14.0632,121.3196,
CYBER-2025-0026,Cyber Harassment,Brgy. VI-B,2025-11-18,2025-11-18,Open,,,,"Luis Manzano","San Pablo City, Laguna","0918XXXXXXX","Email bombing and spam texts","Atty. Pedro Jose","","IV-01-INV-25K-0021","RA 10175 Sec 4(c)(3)","2025-11-18 09:00","","P/Cpl. Gomez","2025-11-18 10:30",,,,14.0785,121.3233,
CYBER-2025-0027,Phishing,Brgy. I-A,2025-11-20,2025-11-21,Open,,,,"Elena Rosas","San Pablo City, Laguna","elena.r@email.com","Fake PayPal security alert","Atty. Juan Cruz","Branch 2","IV-01-INV-25K-0025","RA 10175 Sec 4(b)(3)","2025-11-20 19:00","","SPO1 Reyes","2025-11-21 14:00",,,,14.0733,121.3163,
CYBER-2025-0028,Online Fraud,Brgy. VII-B,2025-11-22,2025-11-22,Open,,,,"Tindahan ni Aling Nena","San Pablo City, Laguna","0945XXXXXXX","Fake supplier asking for payment","Atty. Maria Reyes","","IV-01-INV-25K-0028","Estafa (Art. 315 RPC)","2025-11-22 10:00","5000","P/Cpl. Cruz","2025-11-22 11:30",,,,14.0697,121.3239,
CYBER-2025-0029,Others,Brgy. Santo Angel,2025-11-24,2025-11-25,Under Investigation,,,,"Juan Tamad","San Pablo City, Laguna","juan.t@email.com","Hacked email account (unauthorized access)","Fiscal Ana Lopez","Branch 3","IV-01-INV-25K-0030","RA 10175 Sec 4(a)(1)","2025-11-24 08:00","","SPO1 Reyes","2025-11-25 09:00",,,,14.1019,121.3623,
CYBER-2025-0030,Online Libel,Brgy. VI-A,2025-11-26,2025-11-27,Open,,,,"Mario O'Hara","San Pablo City, Laguna","0917XXXXXXX","Slanderous comments in a live stream","Atty. Pedro Jose","Branch 1","IV-01-INV-25K-0032","RA 10175 Sec 4(c)(4)","2025-11-26 21:00","10000","P/Cpl. Gomez","2025-11-27 15:00",,,,14.0736,121.3234,
CYBER-2025-0031,Phishing,Brgy. V-B,2025-11-28,2025-11-28,Open,,,,"Clara Santos","San Pablo City, Laguna","clara@email.com","Fake Globe rewards link","Atty. Maria Reyes","","IV-01-INV-25K-0033","RA 10175 Sec 4(b)(3)","2025-11-28 12:00","","P/Cpl. Cruz","2025-11-28 13:00",,,,14.0736,121.3249,
