Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-2011,Republic Act No. 10175 (Cyber Harassment),Brgy. III-C,02/04/2025,12/04/2025,Closed,Carlos Mendoza,"Blk 5 Lot 3, Brgy. III-C, San Pablo City",9177309563,Patricia Domingo,"71 Brgy. III-C, San Pablo City",9188447465,Fake investment scam promising double returns in Telegram.,Atty. Tolentino,,IV-01-INV-25-1757,Cyber Harassment,02/04/2025 20:00,10000,admin,12/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2012,Republic Act No. 10175 (Cyber Harassment),Brgy. III-D,11/06/2025,17/06/2025,Open,Grace Santos,"Blk 8 Lot 8, Brgy. III-D, San Pablo City",9178908072,Christian Gomez,"40 Brgy. III-D, San Pablo City",9183975775,Fake investment scam promising double returns in Telegram.,Atty. Villanueva,,IV-01-INV-25-9058,Cyber Harassment,11/06/2025 18:00,,P/Cpl. Mendoza,17/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2013,Republic Act No. 10175 (Phishing),Brgy. III-E,09/03/2025,10/03/2025,Closed,Carlos Lim,"Blk 11 Lot 11, Brgy. III-E, San Pablo City",9173133217,Patricia Mendoza,"87 Brgy. III-E, San Pablo City",9186782557,Fake Shopee seller requiring advanced GCash payment.,Atty. Santos,,IV-01-INV-25-6151,Phishing,09/03/2025 19:00,50000,admin,10/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2014,Republic Act No. 10175 (Sextortion),Brgy. III-F,02/05/2025,05/05/2025,Open,Ricardo Garcia,"Blk 9 Lot 24, Brgy. III-F, San Pablo City",9177231611,Michael Reyes,"57 Brgy. III-F, San Pablo City",9183433670,Fake investment scam promising double returns in Telegram.,Atty. Santos,,IV-01-INV-25-8213,Sextortion,02/05/2025 15:00,50000,SPO1 Castro,05/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2015,Republic Act No. 10175 (Identity Theft),Brgy. IV-A,17/09/2025,21/09/2025,Open,Sofia Lim,"Blk 11 Lot 20, Brgy. IV-A, San Pablo City",9172290966,Sofia Garcia,"16 Brgy. IV-A, San Pablo City",9184397843,Fake Shopee seller requiring advanced GCash payment.,Atty. Dizon,,IV-01-INV-25-8312,Identity Theft,17/09/2025 15:00,,admin,21/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2016,Republic Act No. 10175 (Phishing),Brgy. IV-B,12/07/2025,22/07/2025,Open,Grace Lim,"Blk 15 Lot 24, Brgy. IV-B, San Pablo City",9174585827,Grace Reyes,"60 Brgy. IV-B, San Pablo City",9185345534,Ransomware attack on a small business POS system.,Atty. Fernandez,,IV-01-INV-25-8790,Phishing,12/07/2025 10:00,20000,admin,22/07/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2017,Republic Act No. 10175 (Identity Theft),Brgy. IV-C,13/12/2025,20/12/2025,Closed,Eduardo Garcia,"Blk 10 Lot 44, Brgy. IV-C, San Pablo City",9173009104,Elena Santos,"85 Brgy. IV-C, San Pablo City",9188854317,Fake investment scam promising double returns in Telegram.,Atty. Domingo,,IV-01-INV-25-3573,Identity Theft,13/12/2025 13:00,,SPO1 Bautista,20/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2018,Republic Act No. 10175 (Identity Theft),Brgy. V-A,05/12/2025,08/12/2025,Closed,Sarah Garcia,"Blk 20 Lot 17, Brgy. V-A, San Pablo City",9172448029,Sofia Fernandez,"35 Brgy. V-A, San Pablo City",9182179124,Ransomware attack on a small business POS system.,Atty. Navarro,,IV-01-INV-25-6506,Identity Theft,05/12/2025 10:00,36000,SPO1 Castro,08/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2019,Republic Act No. 10175 (Phishing),Brgy. V-B,16/02/2025,26/02/2025,Closed,Carlos Reyes,"Blk 15 Lot 12, Brgy. V-B, San Pablo City",9172799874,Jose Ocampo,"53 Brgy. V-B, San Pablo City",9189448597,Harassment and death threats sent via anonymous SMS.,Atty. Domingo,,IV-01-INV-25-9404,Phishing,16/02/2025 17:00,20000,admin,26/02/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2020,Republic Act No. 10175 (Sextortion),Brgy. V-C,07/04/2025,09/04/2025,Under Investigation,Elena Navarro,"Blk 16 Lot 23, Brgy. V-C, San Pablo City",9177662106,Maria Bautista,"14 Brgy. V-C, San Pablo City",9181728910,Ransomware attack on a small business POS system.,Atty. Garcia,,IV-01-INV-25-1742,Sextortion,07/04/2025 19:00,,SPO1 Domingo,09/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2021,Republic Act No. 10175 (Hacking),Brgy. V-D,12/11/2025,16/11/2025,Open,Ana Mendoza,"Blk 20 Lot 47, Brgy. V-D, San Pablo City",9172162672,Christian Lim,"12 Brgy. V-D, San Pablo City",9182406046,Fake investment scam promising double returns in Telegram.,Atty. Santos,,IV-01-INV-25-3281,Hacking,12/11/2025 12:00,20000,admin,16/11/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2022,Republic Act No. 10175 (Hacking),Brgy. VI-A,08/10/2025,18/10/2025,Under Investigation,Patricia Dizon,"Blk 8 Lot 28, Brgy. VI-A, San Pablo City",9176358588,Eduardo Bautista,"10 Brgy. VI-A, San Pablo City",9186365661,Threatening to release intimate photos if not paid (Sextortion).,Atty. Santos,,IV-01-INV-25-4023,Hacking,08/10/2025 13:00,36000,P/Cpl. Perez,18/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2023,Republic Act No. 10175 (Online Fraud),Brgy. VI-B,03/01/2025,08/01/2025,Open,John Lim,"Blk 3 Lot 46, Brgy. VI-B, San Pablo City",9173550663,Elena Lim,"69 Brgy. VI-B, San Pablo City",9181619442,Fake Shopee seller requiring advanced GCash payment.,Atty. Ocampo,,IV-01-INV-25-3630,Online Fraud,03/01/2025 11:00,,SPO1 Ocampo,08/01/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2024,Republic Act No. 10175 (Cyber Harassment),Brgy. VI-C,26/09/2025,29/09/2025,Closed,Christian Dizon,"Blk 5 Lot 28, Brgy. VI-C, San Pablo City",9174811110,John Reyes,"19 Brgy. VI-C, San Pablo City",9187857811,Harassment and death threats sent via anonymous SMS.,Atty. Ocampo,,IV-01-INV-25-6162,Cyber Harassment,26/09/2025 9:00,50000,admin,29/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2025,Republic Act No. 10175 (Cyber Harassment),Brgy. VI-D,14/05/2025,18/05/2025,Closed,Michelle Tolentino,"Blk 4 Lot 12, Brgy. VI-D, San Pablo City",9173425733,Michelle Perez,"67 Brgy. VI-D, San Pablo City",9189307666,Compromised victim's email to reset banking passwords.,Atty. Fernandez,,IV-01-INV-25-8904,Cyber Harassment,14/05/2025 20:00,50000,admin,18/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2026,Republic Act No. 10175 (Hacking),Brgy. VI-E,11/08/2025,12/08/2025,Closed,Carlos Gomez,"Blk 8 Lot 23, Brgy. VI-E, San Pablo City",9177300082,Jose Gomez,"86 Brgy. VI-E, San Pablo City",9188955179,Created a dummy Facebook account to post defamatory statements.,Atty. Ocampo,,IV-01-INV-25-9765,Hacking,11/08/2025 16:00,10000,P/Cpl. Dizon,12/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2027,Republic Act No. 10175 (Identity Theft),Brgy. VII-A,22/10/2025,27/10/2025,Under Investigation,Ricardo Villanueva,"Blk 3 Lot 27, Brgy. VII-A, San Pablo City",9172536032,Kevin Dizon,"20 Brgy. VII-A, San Pablo City",9187732151,Catfishing on Facebook to extort money.,Atty. Domingo,,IV-01-INV-25-6778,Identity Theft,22/10/2025 19:00,,admin,27/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2028,Republic Act No. 10175 (Online Fraud),Brgy. VII-B,20/02/2025,28/02/2025,Closed,Sofia Dizon,"Blk 6 Lot 48, Brgy. VII-B, San Pablo City",9173315316,Maria Santos,"50 Brgy. VII-B, San Pablo City",9185374302,Identity theft to apply for quick online loans (OLA).,Atty. Perez,,IV-01-INV-25-9183,Online Fraud,20/02/2025 9:00,10000,admin,28/02/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2029,Republic Act No. 10175 (Hacking),Brgy. VII-C,07/06/2025,16/06/2025,Open,Michelle Reyes,"Blk 11 Lot 35, Brgy. VII-C, San Pablo City",9175515024,John Fernandez,"39 Brgy. VII-C, San Pablo City",9186588408,Compromised victim's email to reset banking passwords.,Atty. Fernandez,,IV-01-INV-25-5342,Hacking,07/06/2025 10:00,,P/Cpl. Mendoza,16/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2030,Republic Act No. 10175 (Cyber Harassment),Brgy. VII-D,04/03/2025,07/03/2025,Closed,Elena Domingo,"Blk 8 Lot 9, Brgy. VII-D, San Pablo City",9171370437,Mark Cruz,"69 Brgy. VII-D, San Pablo City",9182635870,Phishing email disguised as a Netflix subscription update.,Atty. Navarro,,IV-01-INV-25-2361,Cyber Harassment,04/03/2025 19:00,50000,admin,07/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2031,Republic Act No. 10175 (Online Libel),Brgy. VII-E,02/05/2025,06/05/2025,Under Investigation,Eduardo Villanueva,"Blk 20 Lot 42, Brgy. VII-E, San Pablo City",9179870761,John Aquino,"60 Brgy. VII-E, San Pablo City",9182716595,Ransomware attack on a small business POS system.,Atty. Gomez,,IV-01-INV-25-9619,Online Libel,02/05/2025 8:00,,SPO1 Navarro,06/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2032,Republic Act No. 10175 (Online Libel),Brgy. Atisan,26/04/2025,01/05/2025,Open,Mark Castro,"Blk 19 Lot 23, Brgy. Atisan, San Pablo City",9178916324,Kevin Domingo,"11 Brgy. Atisan, San Pablo City",9188469526,Threatening to release intimate photos if not paid (Sextortion).,Atty. Bautista,,IV-01-INV-25-6039,Online Libel,26/04/2025 12:00,36000,admin,01/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2033,Republic Act No. 10175 (Cyber Harassment),Brgy. Bautista,09/02/2025,10/02/2025,Under Investigation,Elena Gomez,"Blk 3 Lot 45, Brgy. Bautista, San Pablo City",9174809608,Michelle Aquino,"66 Brgy. Bautista, San Pablo City",9188939923,Ransomware attack on a small business POS system.,Atty. Mendoza,,IV-01-INV-25-1355,Cyber Harassment,09/02/2025 9:00,20000,admin,10/02/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2034,Republic Act No. 10175 (Hacking),Brgy. Concepcion,05/10/2025,15/10/2025,Open,Sofia Ocampo,"Blk 14 Lot 5, Brgy. Concepcion, San Pablo City",9179710576,Sarah Navarro,"78 Brgy. Concepcion, San Pablo City",9184570792,Ransomware attack on a small business POS system.,Atty. Garcia,,IV-01-INV-25-7194,Hacking,05/10/2025 15:00,36000,admin,15/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2035,Republic Act No. 10175 (Online Libel),Brgy. Del Remedio,09/08/2025,14/08/2025,Closed,Maria Perez,"Blk 14 Lot 9, Brgy. Del Remedio, San Pablo City",9173390222,Patricia Dizon,"60 Brgy. Del Remedio, San Pablo City",9183311003,Compromised victim's email to reset banking passwords.,Atty. Villanueva,,IV-01-INV-25-1139,Online Libel,09/08/2025 9:00,20000,P/Cpl. Ocampo,14/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2036,Republic Act No. 10175 (Sextortion),Brgy. Dolores,24/02/2025,28/02/2025,Closed,Ana Perez,"Blk 5 Lot 45, Brgy. Dolores, San Pablo City",9176755833,Angelica Navarro,"99 Brgy. Dolores, San Pablo City",9188922648,Fake investment scam promising double returns in Telegram.,Atty. Perez,,IV-01-INV-25-8219,Sextortion,24/02/2025 8:00,50000,SPO1 Mendoza,28/02/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2037,Republic Act No. 10175 (Online Libel),Brgy. San Antonio 1,11/03/2025,13/03/2025,Under Investigation,Michelle Fernandez,"Blk 7 Lot 33, Brgy. San Antonio 1, San Pablo City",9177927913,Ana Mendoza,"11 Brgy. San Antonio 1, San Pablo City",9188100049,Phishing email disguised as a Netflix subscription update.,Atty. Domingo,,IV-01-INV-25-2992,Online Libel,11/03/2025 14:00,,admin,13/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2038,Republic Act No. 10175 (Online Fraud),Brgy. San Antonio 2,03/05/2025,04/05/2025,Open,Carlos Cruz,"Blk 16 Lot 34, Brgy. San Antonio 2, San Pablo City",9174258334,Michelle Lim,"48 Brgy. San Antonio 2, San Pablo City",9184421029,Catfishing on Facebook to extort money.,Atty. Mendoza,,IV-01-INV-25-3787,Online Fraud,03/05/2025 17:00,20000,admin,04/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2039,Republic Act No. 10175 (Phishing),Brgy. San Bartolome,10/06/2025,20/06/2025,Open,Christian Garcia,"Blk 5 Lot 18, Brgy. San Bartolome, San Pablo City",9177717650,Rafael Navarro,"35 Brgy. San Bartolome, San Pablo City",9182215435,Catfishing on Facebook to extort money.,Atty. Garcia,,IV-01-INV-25-9465,Phishing,10/06/2025 16:00,36000,admin,20/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2040,Republic Act No. 10175 (Cyber Harassment),Brgy. San Buenaventura,26/08/2025,28/08/2025,Under Investigation,Grace Domingo,"Blk 11 Lot 13, Brgy. San Buenaventura, San Pablo City",9177392290,Ana Garcia,"98 Brgy. San Buenaventura, San Pablo City",9186897745,Phishing email disguised as a Netflix subscription update.,Atty. Gomez,,IV-01-INV-25-5154,Cyber Harassment,26/08/2025 15:00,10000,P/Cpl. Ocampo,28/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2041,Republic Act No. 10175 (Sextortion),Brgy. San Crispin,02/04/2025,08/04/2025,Under Investigation,Christian Santos,"Blk 6 Lot 31, Brgy. San Crispin, San Pablo City",9173123227,Michelle Perez,"61 Brgy. San Crispin, San Pablo City",9188540211,Threatening to release intimate photos if not paid (Sextortion).,Atty. Navarro,,IV-01-INV-25-6452,Sextortion,02/04/2025 12:00,,SPO1 Perez,08/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2042,Republic Act No. 10175 (Online Libel),Brgy. San Cristobal,20/05/2025,27/05/2025,Under Investigation,Sarah Castro,"Blk 6 Lot 43, Brgy. San Cristobal, San Pablo City",9171666675,Kevin Lim,"34 Brgy. San Cristobal, San Pablo City",9189719212,Harassment and death threats sent via anonymous SMS.,Atty. Domingo,,IV-01-INV-25-9264,Online Libel,20/05/2025 19:00,,SPO1 Bautista,27/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2043,Republic Act No. 10175 (Sextortion),Brgy. San Diego,01/08/2025,04/08/2025,Closed,Angelica Bautista,"Blk 18 Lot 3, Brgy. San Diego, San Pablo City",9172435075,Eduardo Castro,"84 Brgy. San Diego, San Pablo City",9184471696,Ransomware attack on a small business POS system.,Atty. Santos,,IV-01-INV-25-8226,Sextortion,01/08/2025 19:00,20000,P/Cpl. Aquino,04/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2044,Republic Act No. 10175 (Identity Theft),Brgy. San Francisco,25/05/2025,29/05/2025,Open,Sarah Reyes,"Blk 5 Lot 11, Brgy. San Francisco, San Pablo City",9175439934,Rafael Perez,"35 Brgy. San Francisco, San Pablo City",9183745653,Phishing email disguised as a Netflix subscription update.,Atty. Domingo,,IV-01-INV-25-5909,Identity Theft,25/05/2025 18:00,,P/Cpl. Mendoza,29/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2045,Republic Act No. 10175 (Cyber Harassment),Brgy. San Gabriel,03/06/2025,06/06/2025,Open,John Garcia,"Blk 1 Lot 3, Brgy. San Gabriel, San Pablo City",9179547956,Eduardo Castro,"86 Brgy. San Gabriel, San Pablo City",9186165205,Fake investment scam promising double returns in Telegram.,Atty. Domingo,,IV-01-INV-25-3848,Cyber Harassment,03/06/2025 8:00,,admin,06/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2046,Republic Act No. 10175 (Identity Theft),Brgy. San Gregorio,09/06/2025,15/06/2025,Under Investigation,Maria Villanueva,"Blk 18 Lot 27, Brgy. San Gregorio, San Pablo City",9172743330,Christian Bautista,"34 Brgy. San Gregorio, San Pablo City",9186283185,Fake Shopee seller requiring advanced GCash payment.,Atty. Villanueva,,IV-01-INV-25-9329,Identity Theft,09/06/2025 12:00,,SPO1 Mendoza,15/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2047,Republic Act No. 10175 (Phishing),Brgy. San Ignacio,15/04/2025,18/04/2025,Closed,John Dizon,"Blk 8 Lot 30, Brgy. San Ignacio, San Pablo City",9174427882,Rafael Domingo,"17 Brgy. San Ignacio, San Pablo City",9182545872,Fake investment scam promising double returns in Telegram.,Atty. Bautista,,IV-01-INV-25-2075,Phishing,15/04/2025 16:00,36000,P/Cpl. Fernandez,18/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2048,Republic Act No. 10175 (Hacking),Brgy. San Isidro,19/09/2025,21/09/2025,Under Investigation,Angelica Lim,"Blk 11 Lot 6, Brgy. San Isidro, San Pablo City",9171293706,John Dizon,"52 Brgy. San Isidro, San Pablo City",9184599402,Catfishing on Facebook to extort money.,Atty. Santos,,IV-01-INV-25-1479,Hacking,19/09/2025 8:00,20000,admin,21/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2049,Republic Act No. 10175 (Identity Theft),Brgy. San Joaquin,01/04/2025,05/04/2025,Open,Michelle Ocampo,"Blk 16 Lot 38, Brgy. San Joaquin, San Pablo City",9173428554,Patricia Dizon,"19 Brgy. San Joaquin, San Pablo City",9186819402,Harassment and death threats sent via anonymous SMS.,Atty. Navarro,,IV-01-INV-25-5721,Identity Theft,01/04/2025 13:00,36000,P/Cpl. Mendoza,05/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2050,Republic Act No. 10175 (Cyber Harassment),Brgy. San Jose,26/09/2025,28/09/2025,Under Investigation,Christian Aquino,"Blk 3 Lot 47, Brgy. San Jose, San Pablo City",9175801721,Carlos Ocampo,"31 Brgy. San Jose, San Pablo City",9186806117,Phishing email disguised as a Netflix subscription update.,Atty. Santos,,IV-01-INV-25-5660,Cyber Harassment,26/09/2025 10:00,,admin,28/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2051,Republic Act No. 10175 (Online Fraud),Brgy. San Juan,12/04/2025,14/04/2025,Open,Kevin Perez,"Blk 14 Lot 33, Brgy. San Juan, San Pablo City",9172716169,Mark Perez,"59 Brgy. San Juan, San Pablo City",9188404353,Fake Shopee seller requiring advanced GCash payment.,Atty. Dizon,,IV-01-INV-25-8301,Online Fraud,12/04/2025 13:00,,P/Cpl. Ocampo,14/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2052,Republic Act No. 10175 (Sextortion),Brgy. San Lorenzo,10/06/2025,12/06/2025,Open,Michelle Bautista,"Blk 7 Lot 5, Brgy. San Lorenzo, San Pablo City",9173997814,Michelle Villanueva,"42 Brgy. San Lorenzo, San Pablo City",9189387454,Ransomware attack on a small business POS system.,Atty. Gomez,,IV-01-INV-25-3333,Sextortion,10/06/2025 16:00,,SPO1 Bautista,12/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2053,Republic Act No. 10175 (Online Libel),Brgy. San Lucas 1,07/05/2025,17/05/2025,Under Investigation,Elena Castro,"Blk 20 Lot 17, Brgy. San Lucas 1, San Pablo City",9175459893,Patricia Navarro,"51 Brgy. San Lucas 1, San Pablo City",9189920304,Fake Shopee seller requiring advanced GCash payment.,Atty. Domingo,,IV-01-INV-25-5404,Online Libel,07/05/2025 18:00,,admin,17/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2054,Republic Act No. 10175 (Sextortion),Brgy. San Lucas 2,21/09/2025,01/10/2025,Under Investigation,Eduardo Castro,"Blk 18 Lot 45, Brgy. San Lucas 2, San Pablo City",9177261107,Ana Reyes,"3 Brgy. San Lucas 2, San Pablo City",9182267217,Ransomware attack on a small business POS system.,Atty. Villanueva,,IV-01-INV-25-7820,Sextortion,21/09/2025 9:00,50000,admin,01/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2055,Republic Act No. 10175 (Online Libel),Brgy. San Marcos,23/09/2025,01/10/2025,Closed,Kevin Bautista,"Blk 8 Lot 31, Brgy. San Marcos, San Pablo City",9177506571,Carlos Castro,"8 Brgy. San Marcos, San Pablo City",9186921964,Identity theft to apply for quick online loans (OLA).,Atty. Garcia,,IV-01-INV-25-4108,Online Libel,23/09/2025 13:00,20000,admin,01/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2056,Republic Act No. 10175 (Cyber Harassment),Brgy. San Mateo,01/08/2025,03/08/2025,Closed,Ana Castro,"Blk 6 Lot 48, Brgy. San Mateo, San Pablo City",9173736190,Christian Castro,"29 Brgy. San Mateo, San Pablo City",9186103348,Fake investment scam promising double returns in Telegram.,Atty. Santos,,IV-01-INV-25-8394,Cyber Harassment,01/08/2025 11:00,10000,admin,03/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
