Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-0111,Republic Act No. 10175 (Online Fraud),Brgy. Del Remedio,2025-12-20,2025-12-21,Closed,Patrick Lim,-,-,Elena Navarro,-,-,"Scammed complainant into paying reservation fee for a fake apartment rental.",-,-,-,-,2025-12-20 15:45,-,admin,2025-12-21 10:30,-,-,-,14.0825,121.3330,
CYBER-2026-0001,Republic Act No. 10175 (Phishing),Brgy. San Rafael,2026-01-08,2026-01-09,Open,Unknown,-,-,Victor Manuel,-,-,"Fake GCash customer service representative called to ask for MPIN.",-,-,-,-,2026-01-08 10:00,-,admin,2026-01-09 09:00,-,-,-,14.0915,121.3120,
CYBER-2026-0002,Republic Act No. 10175 (Sextortion),Brgy. San Gabriel,2026-01-14,2026-01-15,Under Investigation,Dennis Pascual,-,-,Sarah Tolentino,-,-,"Met on a dating app and recorded a video call to use for blackmail.",-,-,-,-,2026-01-14 23:30,-,admin,2026-01-15 08:30,-,-,-,14.0815,121.3460,
CYBER-2026-0003,Republic Act No. 10175 (Cyber Harassment),Brgy. San Nicolas,2026-01-22,2026-01-23,Closed,Jerome Villar,-,-,Paolo Roxas,-,-,"Spammed the victim's employer with defamatory emails.",-,-,-,-,2026-01-22 09:15,-,admin,2026-01-23 10:00,-,-,-,14.0560,121.3190,
CYBER-2026-0004,Republic Act No. 10175 (Identity Theft),Brgy. San Francisco,2026-02-05,2026-02-06,Open,Unknown,-,-,Camille Cortez,-,-,"Victim's photos were used to create a fake Tinder profile to scam foreigners.",-,-,-,-,2026-02-05 14:00,-,admin,2026-02-06 11:30,-,-,-,14.0770,121.3140,
CYBER-2026-0005,Republic Act No. 10175 (Online Fraud),Brgy. San Jose,2026-02-14,2026-02-15,Under Investigation,Michael Torres,-,-,Ricardo Ramos,-,-,"Victim paid for motorcycle parts via bank transfer but seller blocked them.",-,-,-,-,2026-02-14 16:45,-,admin,2026-02-15 09:45,-,-,-,14.0640,121.3190,
CYBER-2026-0006,Republic Act No. 10175 (Online Fraud),Brgy. San Roque,2026-02-20,2026-02-21,Open,Unknown,-,-,Teresa Lopez,-,-,"Phony travel agency offering discounted Palawan packages on Facebook.",-,-,-,-,2026-02-20 11:30,-,admin,2026-02-21 14:15,-,-,-,14.0700,121.3250,
CYBER-2026-0007,Republic Act No. 10175 (Hacking),Brgy. Del Remedio,2026-02-25,2026-02-26,Under Investigation,Vincent Aguilar,-,-,San Pablo Tech Store,-,-,"Ransomware attack locking the POS system of a local computer shop.",-,-,-,-,2026-02-25 08:00,-,admin,2026-02-26 09:00,-,-,-,14.0800,121.3300,
CYBER-2026-0008,Republic Act No. 10175 (Phishing),Brgy. San Rafael,2026-02-28,2026-03-01,Open,Unknown,-,-,Grace Fernandez,-,-,"Victim clicked a fake Netflix account suspension link and entered credit card details.",-,-,-,-,2026-02-28 20:15,-,admin,2026-03-01 08:30,-,-,-,14.0920,121.3110,
CYBER-2026-0009,Republic Act No. 10175 (Online Libel),Brgy. San Gabriel,2026-03-01,2026-03-02,Open,Christian Delos Reyes,-,-,Jonathan Silva,-,-,"Accused posted a viral TikTok video falsely claiming the complainant is a scammer.",-,-,-,-,2026-03-01 12:00,-,admin,2026-03-02 10:00,-,-,-,14.0820,121.3440,
CYBER-2026-0010,Online Fraud,Brgy. Del Remedio,2026-02-15,2026-02-16,Under Investigation,Carlos Mendoza,"123 Rizal Ave, Manila",09171112222,Lilibeth Ocampo,"45 Purok 2, Del Remedio, San Pablo City",09181234567,Suspect sold a fake VIP concert ticket via Facebook Marketplace and blocked the victim immediately after receiving the GCash payment.,Atty. Miguel Santos,RTC Branch 32,NPS-IV-03-INQ-26B-0012,Estafa / Online Fraud,2026-02-14 14:00,36000,admin,2026-02-16 09:00,-,-,Screenshots of conversation and GCash receipt attached.,14.0842,121.3150,fb_scam.png
CYBER-2026-0011,Cyber Harassment,Brgy. San Gabriel,2026-02-20,2026-02-21,Open,UNIDENTIFIED,Unknown,Unknown,Mark Villanueva,"Blk 3, San Gabriel, San Pablo City",09998887777,An anonymous dummy account has been repeatedly sending death threats and doxing the victim's family members on X (formerly Twitter).,-,-,-,Unjust Vexation / Cyber Harassment,2026-02-19 22:30,-,admin,2026-02-21 10:15,-,-,Printed PDF of the harassing tweet threads.,14.0553,121.3118,tweets_threat.pdf
CYBER-2026-0012,Identity Theft,Brgy. San Roque,2026-02-25,2026-02-28,Under Investigation,Elena Castro,"88 Burgos St, Calamba City",09223334444,Sofia Rivera,"12A San Roque, San Pablo City",09174445555,Suspect created a fake Facebook lending profile using the victim's stolen driver's license to solicit fraudulent loans from the victim's relatives.,Atty. Sarah Perez,RTC Branch 29,NPS-IV-03-INQ-26B-0088,Identity Theft,2026-02-24 08:00,50000,admin,2026-02-28 13:45,-,-,Copies of fake ID and loan solicitations.,14.0680,121.3126,fake_id_proof.jpg
CYBER-2026-0013,Phishing,Brgy. San Rafael,2026-03-01,2026-03-02,Closed,John Doe (Foreign IP),Foreign Jurisdiction,N/A,Ricardo Gomez,"Phase 2, San Rafael, San Pablo City",09195556666,Victim received an email disguised as BDO urging an immediate password reset. Clicked link and lost PHP 25000 via unauthorized bank transfer.,-,-,-,Phishing / Unauthorized Access,2026-03-01 09:15,-,admin,2026-03-02 11:00,Anti-Cybercrime Group Crame,2026-03-03 09:00,Bank statements and email headers provided. Case forwarded to national HQ due to foreign IP address.,14.0713,121.3047,bdo_phishing_email.pdf
CYBER-2026-0014,Sextortion,Brgy. Santa Monica,2026-03-02,2026-03-03,Open,UNIDENTIFIED (Alias Kiko),Unknown,telegram:@kiko_hidden,Anna Bautista,"99 Mabini Ext, Santa Monica, San Pablo City",09157778888,Suspect acquired intimate photos of the victim via a compromised iCloud account and is demanding PHP 15000 in crypto to prevent public release.,-,-,-,Robbery with Intimidation / Sextortion,2026-03-02 23:45,-,admin,2026-03-03 08:30,-,-,Telegram chat history exported.,14.0558,121.3044,telegram_extort.png
CYBER-2026-0015,Online Libel,Brgy. San Jose,2026-03-03,2026-03-04,Under Investigation,Patricia Alonzo,"44 Malaya St, Lipa City",09201122334,Dr. Roberto Flores,"7 Clinic Row, San Jose, San Pablo City",09172233445,Accused posted malicious and false defamatory statements on a public community Facebook group claiming the victim's dental clinic practices illegal procedures.,Atty. Laura Cruz,RTC Branch 30,NPS-IV-03-INQ-26C-0005,Online Libel,2026-03-02 18:00,10000,admin,2026-03-04 14:20,-,-,Notarized screenshots of the Facebook post and comments.,14.0685,121.3961,fb_libel_post.pdf
CYBER-2026-0016,Hacking,Brgy. San Diego,2026-02-28,2026-03-01,Closed,Jericho Tolentino,"12 Bunga St, San Diego, San Pablo City",09183344556,San Pablo City Water District,SPCWD Main Office,0495621111,Former IT employee used backdoor credentials to deface the homepage of the municipality water district and disrupt billing services.,Atty. Ferdinand Reyes,RTC Branch 33,NPS-IV-03-INQ-26B-0044,Illegal Access / System Interference,2026-02-27 02:00,120000,admin,2026-03-01 16:00,-,-,Server logs and IP tracing reports matching suspect home address.,14.0953,121.3808,server_logs.csv
CYBER-2026-0017,Online Fraud,Brgy. San Lucas 1,2026-03-03,2026-03-04,Open,UNIDENTIFIED,Unknown,09459990000,Teresa Magno,"55 Purok 4, San Lucas 1, San Pablo City",09278889999,Victim received a text message claiming to be from Shopee offering a part-time job. Victim transferred PHP 8000 for task unlocking and was subsequently blocked.,-,-,-,Estafa (Task Scam),2026-03-03 10:30,-,admin,2026-03-04 09:00,-,-,WhatsApp conversation logs and Maya transfer receipts.,14.0842,121.3274,task_scam_proof.jpg
CYBER-2026-0018,Identity Theft,Brgy. Concepcion,2026-03-01,2026-03-03,Under Investigation,UNIDENTIFIED,Unknown,Unknown,Gabriel Domingo,"102 Villa Antonio, Concepcion, San Pablo City",09321112233,Unknown individual created a Tinder and Bumble account using the victim's photos to harass other local users under his name.,-,-,-,Computer-Related Forgery / Identity Theft,2026-02-28 20:00,-,admin,2026-03-03 11:30,-,-,Screen recordings of the fake dating profiles.,14.0895,121.3429,fake_bumble.mp4
CYBER-2026-0019,Phishing,Brgy. San Bartolome,2026-03-04,2026-03-04,Open,UNIDENTIFIED,Unknown,Unknown,Carmela Roxas,"Blk 2 Lot 4, San Bartolome, San Pablo City",09156667777,Victim clicked a malicious link sent via SMS claiming a parcel delivery from J&T failed. Link harvested credit card details resulting in unauthorized overseas purchases.,-,-,-,Smishing / Access Devices Regulation Act,2026-03-04 07:45,-,admin,2026-03-04 13:00,-,-,SMS screenshot and credit card billing statement showing foreign transaction.,14.0342,121.2929,smishing_sms.png
