Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2026-0051,Republic Act No. 10175 (Identity Theft),Brgy. San Francisco,2026-03-04,2026-03-05,Open,UNIDENTIFIED,Unknown,,Carmen Diaz,,,"Fake dating profile created using complainant photos.",,,,Identity Theft,2026-03-04 20:00,,admin,2026-03-05 09:30,,,,14.0781,121.3148,
CYBER-2026-0052,Republic Act No. 10175 (Cyber Harassment),Brgy. San Francisco,2026-03-06,2026-03-07,Open,Miguel Fernandez,,,Sofia Rivera,,,"Continuous harassment and stalking via Instagram DMs.",,,,Cyber Harassment,2026-03-06 23:45,,admin,2026-03-07 10:00,,,,14.0792,121.3165,
CYBER-2026-0053,Republic Act No. 10175 (Phishing),Brgy. San Jose,2026-03-07,2026-03-08,Open,UNIDENTIFIED,Unknown,,Luis Tan,,,"Fake Shopee email asking for credit card details.",,,,Phishing,2026-03-07 15:00,,admin,2026-03-08 08:45,,,,14.0670,121.3220,
CYBER-2026-0054,Republic Act No. 10175 (Online Fraud),Brgy. San Jose,2026-03-08,2026-03-09,Open,UNIDENTIFIED,Unknown,,Rosa Mercado,,,"Fake concert ticket seller on Twitter.",,,,Online Fraud,2026-03-08 12:30,,admin,2026-03-09 09:15,,,,14.0660,121.3210,
CYBER-2026-0055,Republic Act No. 10175 (Sextortion),Brgy. San Jose,2026-03-09,2026-03-10,Open,UNIDENTIFIED,Unknown,,Tomas Reyes,,,"Demanding payment to prevent video sharing on Facebook.",,,,Sextortion,2026-03-09 02:00,,admin,2026-03-10 10:30,,,,14.0680,121.3230,
CYBER-2026-0056,Republic Act No. 10175 (Online Libel),Brgy. San Jose,2026-03-10,2026-03-11,Under Investigation,Anita Cruz,,,Josefa Santos,,,"Malicious rumors spread in a neighborhood group chat.",,,,Online Libel,2026-03-10 18:20,,admin,2026-03-11 09:00,,,,14.0655,121.3205,
CYBER-2026-0057,Republic Act No. 10175 (Online Fraud),Brgy. San Lucas 1,2026-03-03,2026-03-04,Open,UNIDENTIFIED,Unknown,,Teresa Magno,,,"Victim received a text message claiming to be from Shopee.",,,,Estafa,2026-03-03 10:30,,admin,2026-03-04 09:00,,,,14.0842,121.3274,
CYBER-2026-0058,Republic Act No. 10175 (Identity Theft),Brgy. Concepcion,2026-03-01,2026-03-03,Under Investigation,UNIDENTIFIED,Unknown,,Gabriel Domingo,,,"Unknown individual created Tinder accounts using victim photos.",,,,Identity Theft,2026-02-28 20:00,,admin,2026-03-03 11:30,,,,14.0895,121.3412,
CYBER-2026-0059,Republic Act No. 10175 (Phishing),Brgy. San Francisco,2026-03-08,2026-03-09,Open,UNIDENTIFIED,Unknown,,Mila Cruz,,,"Another fake BPI email targeting a different resident.",,,,Phishing,2026-03-08 09:15,,admin,2026-03-09 08:30,,,,14.0782,121.3151,
CYBER-2026-0060,Republic Act No. 10175 (Cyber Harassment),Brgy. San Jose,2026-03-11,2026-03-11,Open,UNIDENTIFIED,Unknown,,Juan Perez,,,"Cyberbullying via dummy Facebook accounts.",,,,Cyber Harassment,2026-03-10 19:45,,admin,2026-03-11 14:00,,,,14.0662,121.3211,
